gsis_id,season,metric_raw,volume,success_rate,total_epa,team,position_group,metric_secondary,mean_season,sd_season,z_score,years_exp,age,prev_team,changed_team,years_since_change,transition_season,new_team,rel_time,post_transition,phase,team_pos_avg,team_quality,team_pass_epa_per_play,team_rush_epa_per_play,team_sack_rate,pre_trend_slope
00-0031325,2019,7.417582417582418,91,0.48351648351648346,NA,KC,WR_TE,NA,7.735202054584536,1.6128011154285213,-0.19693664269182173,5,26.21492128678987,KC,0,2,2017,LA,2,1,Post,0.5439626483647398,0.21614179613436788,0.21614179613436788,-0.053044205714937044,0.04145936981757876,-1.8260984026775504
00-0031339,2016,5.482142857142857,56,0.4642857142857143,NA,IND,WR_TE,NA,7.368154466071593,1.475240900789155,-1.2784431396389884,2,23.071868583162217,IND,0,0,2018,JAX,-2,0,Pre,0.31330093030152695,0.07718627459066418,0.07718627459066418,-0.08180498738314336,0.06973058637084005,0
00-0031339,2018,7.685393258426966,89,0.49438202247191015,NA,JAX,WR_TE,NA,7.810849650679093,1.5945394612278165,-0.07867876292978256,4,25.07049965776865,IND,1,1,2018,JAX,0,1,Post,-0.5546851581774883,-0.1462458835157159,-0.1462458835157159,-0.09210424425875416,0.08967851099830808,0
00-0031359,2016,8.016949152542374,118,0.5,NA,CAR,WR_TE,NA,7.368154466071593,1.475240900789155,0.4397889769214768,2,25.571526351813826,NA,0,0,2017,BUF,-1,0,Pre,-0.1929911098054408,-0.048075498428171125,-0.048075498428171125,-0.0667563995136627,0.05960264900662249,0
00-0031359,2017,8.714285714285714,77,0.5584415584415584,NA,BUF,WR_TE,NA,7.3765744897261225,1.4996147088396286,0.8920366122540134,3,26.570841889117045,CAR,1,1,2017,BUF,0,1,Post,-0.3329009551278874,-0.06980015928475124,-0.06980015928475124,-0.07161238380974719,0.09003831417624515,0
00-0031359,2018,5.6716417910447765,67,0.35820895522388063,NA,KC,WR_TE,NA,7.810849650679093,1.5945394612278165,-1.3415835177808004,4,27.57015742642026,BUF,1,2,2017,BUF,1,1,Post,0.2659246391580476,0.3472234041506826,0.3472234041506826,0.05376438977583989,0.04262295081967216,0
00-0031376,2022,7.138888888888889,72,0.5555555555555557,NA,KC,WR_TE,NA,7.418478050087133,1.4244202753093222,-0.1962827727494465,8,30.32991101984942,MIN,1,1,2022,KC,0,1,Post,0.6760095659540079,0.24935922600978844,0.24935922600978844,0.03645001577204621,0.03823529411764707,NA
00-0031381,2021,9.189349112426035,169,0.5976331360946745,NA,GB,WR_TE,NA,7.489855865136989,1.6020349236130609,1.0608340818539632,7,28.687200547570157,GB,0,0,2022,LV,-1,0,Pre,0.23000149280611273,0.1894539011835425,0.1894539011835425,0.03267123983792398,0.052547770700636945,0
00-0031381,2022,8.375690607734807,181,0.4530386740331492,NA,LV,WR_TE,NA,7.418478050087133,1.4244202753093222,0.6720014971984367,8,29.686516084873375,GB,1,1,2022,LV,0,1,Post,-0.12326531894154984,0.009445740994294145,0.009445740994294145,-0.020316246320342977,0.05608974358974357,0
00-0031381,2023,6.565714285714286,175,0.46857142857142847,NA,LV,WR_TE,NA,7.601435399149737,1.6428365229512767,-0.6304468515070677,9,30.68583162217659,LV,0,1,2022,LV,1,1,Post,-0.6379013450540534,-0.08256809359543525,-0.08256809359543525,-0.13527969873986703,0.06677796327212018,0
00-0031381,2024,7.5,142,0.4859154929577465,NA,NYJ,WR_TE,NA,7.6930919477278374,1.6003222153840904,-0.12065816863105522,10,31.68788501026694,LV,1,2,2022,LV,2,1,Post,-0.32015697743303095,0.013457409876826004,0.013457409876826004,-0.06543426817657694,0.061255742725880545,0
00-0031382,2016,8.556390977443609,133,0.5338345864661653,NA,MIA,WR_TE,NA,7.368154466071593,1.475240900789155,0.805452526930611,2,23.759069130732374,MIA,0,0,2018,CLE,-2,0,Pre,0.8962637171101916,0.055164603386759395,0.055164603386759395,-0.06305475989111614,0.058939096267190634,-1.6364257761071714
00-0031382,2017,6.130434782608695,161,0.4844720496894409,NA,MIA,WR_TE,NA,7.3765744897261225,1.4996147088396286,-0.83097324917656,3,24.758384668035593,MIA,0,0,2018,CLE,-1,0,Pre,-0.3574110546557745,-0.10951853654057074,-0.10951853654057074,-0.15553458910202125,0.05188679245283023,-1.6364257761071714
00-0031382,2018,6.506666666666667,150,0.4133333333333334,NA,CLE,WR_TE,NA,7.810849650679093,1.5945394612278165,-0.8179057437739345,4,25.75770020533881,MIA,1,1,2018,CLE,0,1,Post,-0.05063262264314159,-0.01902605631981313,-0.01902605631981313,-0.03518038796809147,0.0612903225806453,-1.6364257761071714
00-0031382,2019,8.507246376811594,138,0.5217391304347826,NA,CLE,WR_TE,NA,7.735202054584536,1.6128011154285213,0.47869778538807956,5,26.757015742642025,CLE,0,1,2018,CLE,1,1,Post,0.2538431884215967,-0.03865261595393118,-0.03865261595393118,-0.05989586220840272,0.07032590051457976,-1.6364257761071714
00-0031387,2016,8.364705882352942,85,0.6,NA,DET,WR_TE,NA,7.368154466071593,1.475240900789155,0.6755177515402807,2,23.394934976043807,DET,0,0,2018,IND,-2,0,Pre,0.023259272271484454,0.11689821687158118,0.11689821687158118,-0.09284045783837483,0.05845181674565561,-1.1437419433517053
00-0031387,2017,6.674418604651163,86,0.4186046511627907,NA,DET,WR_TE,NA,7.3765744897261225,1.4996147088396286,-0.4682241918114243,3,24.39425051334702,DET,0,0,2018,IND,-1,0,Pre,0.3491356873372529,0.03635475579832456,0.03635475579832456,-0.22714118591262386,0.07568438003220618,-1.1437419433517053
00-0031387,2018,6.818181818181818,110,0.5,NA,IND,WR_TE,NA,7.810849650679093,1.5945394612278165,-0.6225420296170703,4,25.39356605065024,DET,1,1,2018,IND,0,1,Post,-0.42327387593780263,0.12877697979226926,0.12877697979226926,-0.05933318850478845,0.02706766917293233,-1.1437419433517053
